Point,Corner,a,b,c,d,e,f,g,h,Pass/Fail,"value(VT(""/I15/I26<127>/net7"") 8e-09)"
1,nom,0,0,0,0,0,0,0,0,,2.03e-3
2,nom,0,0,0,0,0,0,0,900e-3,,6.154e-3
3,nom,0,0,0,0,0,0,900e-3,0,,9.319e-3
4,nom,0,0,0,0,0,0,900e-3,900e-3,,13.53e-3
5,nom,0,0,0,0,0,900e-3,0,0,,15.71e-3
6,nom,0,0,0,0,0,900e-3,0,900e-3,,19.97e-3
7,nom,0,0,0,0,0,900e-3,900e-3,0,,23.22e-3
8,nom,0,0,0,0,0,900e-3,900e-3,900e-3,,27.52e-3
9,nom,0,0,0,0,900e-3,0,0,0,,28.67e-3
10,nom,0,0,0,0,900e-3,0,0,900e-3,,33e-3
11,nom,0,0,0,0,900e-3,0,900e-3,0,,36.29e-3
12,nom,0,0,0,0,900e-3,0,900e-3,900e-3,,40.65e-3
13,nom,0,0,0,0,900e-3,900e-3,0,0,,42.9e-3
14,nom,0,0,0,0,900e-3,900e-3,0,900e-3,,47.27e-3
15,nom,0,0,0,0,900e-3,900e-3,900e-3,0,,50.6e-3
16,nom,0,0,0,0,900e-3,900e-3,900e-3,900e-3,,55e-3
17,nom,0,0,0,900e-3,0,0,0,0,,55.06e-3
18,nom,0,0,0,900e-3,0,0,0,900e-3,,59.47e-3
19,nom,0,0,0,900e-3,0,0,900e-3,0,,62.82e-3
20,nom,0,0,0,900e-3,0,0,900e-3,900e-3,,67.23e-3
21,nom,0,0,0,900e-3,0,900e-3,0,0,,69.52e-3
22,nom,0,0,0,900e-3,0,900e-3,0,900e-3,,73.94e-3
23,nom,0,0,0,900e-3,0,900e-3,900e-3,0,,77.31e-3
24,nom,0,0,0,900e-3,0,900e-3,900e-3,900e-3,,81.75e-3
25,nom,0,0,0,900e-3,900e-3,0,0,0,,82.94e-3
26,nom,0,0,0,900e-3,900e-3,0,0,900e-3,,87.38e-3
27,nom,0,0,0,900e-3,900e-3,0,900e-3,0,,90.76e-3
28,nom,0,0,0,900e-3,900e-3,0,900e-3,900e-3,,95.21e-3
29,nom,0,0,0,900e-3,900e-3,900e-3,0,0,,97.51e-3
30,nom,0,0,0,900e-3,900e-3,900e-3,0,900e-3,,102e-3
31,nom,0,0,0,900e-3,900e-3,900e-3,900e-3,0,,105.3e-3
32,nom,0,0,0,900e-3,900e-3,900e-3,900e-3,900e-3,,109.8e-3
33,nom,0,0,900e-3,0,0,0,0,0,,108.7e-3
34,nom,0,0,900e-3,0,0,0,0,900e-3,,113.2e-3
35,nom,0,0,900e-3,0,0,0,900e-3,0,,116.6e-3
36,nom,0,0,900e-3,0,0,0,900e-3,900e-3,,121.1e-3
37,nom,0,0,900e-3,0,0,900e-3,0,0,,123.4e-3
38,nom,0,0,900e-3,0,0,900e-3,0,900e-3,,127.8e-3
39,nom,0,0,900e-3,0,0,900e-3,900e-3,0,,131.2e-3
40,nom,0,0,900e-3,0,0,900e-3,900e-3,900e-3,,135.7e-3
41,nom,0,0,900e-3,0,900e-3,0,0,0,,136.9e-3
42,nom,0,0,900e-3,0,900e-3,0,0,900e-3,,141.4e-3
43,nom,0,0,900e-3,0,900e-3,0,900e-3,0,,144.8e-3
44,nom,0,0,900e-3,0,900e-3,0,900e-3,900e-3,,149.3e-3
45,nom,0,0,900e-3,0,900e-3,900e-3,0,0,,151.6e-3
46,nom,0,0,900e-3,0,900e-3,900e-3,0,900e-3,,156.1e-3
47,nom,0,0,900e-3,0,900e-3,900e-3,900e-3,0,,159.5e-3
48,nom,0,0,900e-3,0,900e-3,900e-3,900e-3,900e-3,,163.9e-3
49,nom,0,0,900e-3,900e-3,0,0,0,0,,164e-3
50,nom,0,0,900e-3,900e-3,0,0,0,900e-3,,168.5e-3
51,nom,0,0,900e-3,900e-3,0,0,900e-3,0,,171.9e-3
52,nom,0,0,900e-3,900e-3,0,0,900e-3,900e-3,,176.4e-3
53,nom,0,0,900e-3,900e-3,0,900e-3,0,0,,178.7e-3
54,nom,0,0,900e-3,900e-3,0,900e-3,0,900e-3,,183.2e-3
55,nom,0,0,900e-3,900e-3,0,900e-3,900e-3,0,,186.6e-3
56,nom,0,0,900e-3,900e-3,0,900e-3,900e-3,900e-3,,191.1e-3
57,nom,0,0,900e-3,900e-3,900e-3,0,0,0,,192.3e-3
58,nom,0,0,900e-3,900e-3,900e-3,0,0,900e-3,,196.8e-3
59,nom,0,0,900e-3,900e-3,900e-3,0,900e-3,0,,200.2e-3
60,nom,0,0,900e-3,900e-3,900e-3,0,900e-3,900e-3,,204.7e-3
61,nom,0,0,900e-3,900e-3,900e-3,900e-3,0,0,,207.1e-3
62,nom,0,0,900e-3,900e-3,900e-3,900e-3,0,900e-3,,211.5e-3
63,nom,0,0,900e-3,900e-3,900e-3,900e-3,900e-3,0,,215e-3
64,nom,0,0,900e-3,900e-3,900e-3,900e-3,900e-3,900e-3,,219.5e-3
65,nom,0,900e-3,0,0,0,0,0,0,,216e-3
66,nom,0,900e-3,0,0,0,0,0,900e-3,,220.5e-3
67,nom,0,900e-3,0,0,0,0,900e-3,0,,223.9e-3
68,nom,0,900e-3,0,0,0,0,900e-3,900e-3,,228.4e-3
69,nom,0,900e-3,0,0,0,900e-3,0,0,,230.7e-3
70,nom,0,900e-3,0,0,0,900e-3,0,900e-3,,235.2e-3
71,nom,0,900e-3,0,0,0,900e-3,900e-3,0,,238.7e-3
72,nom,0,900e-3,0,0,0,900e-3,900e-3,900e-3,,243.1e-3
73,nom,0,900e-3,0,0,900e-3,0,0,0,,244.4e-3
74,nom,0,900e-3,0,0,900e-3,0,0,900e-3,,248.9e-3
75,nom,0,900e-3,0,0,900e-3,0,900e-3,0,,252.3e-3
76,nom,0,900e-3,0,0,900e-3,0,900e-3,900e-3,,256.8e-3
77,nom,0,900e-3,0,0,900e-3,900e-3,0,0,,259.1e-3
78,nom,0,900e-3,0,0,900e-3,900e-3,0,900e-3,,263.7e-3
79,nom,0,900e-3,0,0,900e-3,900e-3,900e-3,0,,267.1e-3
80,nom,0,900e-3,0,0,900e-3,900e-3,900e-3,900e-3,,271.7e-3
81,nom,0,900e-3,0,900e-3,0,0,0,0,,271.7e-3
82,nom,0,900e-3,0,900e-3,0,0,0,900e-3,,276.3e-3
83,nom,0,900e-3,0,900e-3,0,0,900e-3,0,,279.6e-3
84,nom,0,900e-3,0,900e-3,0,0,900e-3,900e-3,,284.2e-3
85,nom,0,900e-3,0,900e-3,0,900e-3,0,0,,286.5e-3
86,nom,0,900e-3,0,900e-3,0,900e-3,0,900e-3,,291e-3
87,nom,0,900e-3,0,900e-3,0,900e-3,900e-3,0,,294.5e-3
88,nom,0,900e-3,0,900e-3,0,900e-3,900e-3,900e-3,,299e-3
89,nom,0,900e-3,0,900e-3,900e-3,0,0,0,,300.2e-3
90,nom,0,900e-3,0,900e-3,900e-3,0,0,900e-3,,304.8e-3
91,nom,0,900e-3,0,900e-3,900e-3,0,900e-3,0,,308.2e-3
92,nom,0,900e-3,0,900e-3,900e-3,0,900e-3,900e-3,,312.8e-3
93,nom,0,900e-3,0,900e-3,900e-3,900e-3,0,0,,315.1e-3
94,nom,0,900e-3,0,900e-3,900e-3,900e-3,0,900e-3,,319.6e-3
95,nom,0,900e-3,0,900e-3,900e-3,900e-3,900e-3,0,,323e-3
96,nom,0,900e-3,0,900e-3,900e-3,900e-3,900e-3,900e-3,,327.6e-3
97,nom,0,900e-3,900e-3,0,0,0,0,0,,326.6e-3
98,nom,0,900e-3,900e-3,0,0,0,0,900e-3,,331.2e-3
99,nom,0,900e-3,900e-3,0,0,0,900e-3,0,,334.6e-3
100,nom,0,900e-3,900e-3,0,0,0,900e-3,900e-3,,339.2e-3
101,nom,0,900e-3,900e-3,0,0,900e-3,0,0,,341.5e-3
102,nom,0,900e-3,900e-3,0,0,900e-3,0,900e-3,,346e-3
103,nom,0,900e-3,900e-3,0,0,900e-3,900e-3,0,,349.5e-3
104,nom,0,900e-3,900e-3,0,0,900e-3,900e-3,900e-3,,355.1e-3
105,nom,0,900e-3,900e-3,0,900e-3,0,0,0,,355.1e-3
106,nom,0,900e-3,900e-3,0,900e-3,0,0,900e-3,,360.2e-3
107,nom,0,900e-3,900e-3,0,900e-3,0,900e-3,0,,363.7e-3
108,nom,0,900e-3,900e-3,0,900e-3,0,900e-3,900e-3,,368.8e-3
109,nom,0,900e-3,900e-3,0,900e-3,900e-3,0,0,,370.6e-3
110,nom,0,900e-3,900e-3,0,900e-3,900e-3,0,900e-3,,375.7e-3
111,nom,0,900e-3,900e-3,0,900e-3,900e-3,900e-3,0,,379.2e-3
112,nom,0,900e-3,900e-3,0,900e-3,900e-3,900e-3,900e-3,,384.4e-3
113,nom,0,900e-3,900e-3,900e-3,0,0,0,0,,382.8e-3
114,nom,0,900e-3,900e-3,900e-3,0,0,0,900e-3,,387.4e-3
115,nom,0,900e-3,900e-3,900e-3,0,0,900e-3,0,,390.8e-3
116,nom,0,900e-3,900e-3,900e-3,0,0,900e-3,900e-3,,395.3e-3
117,nom,0,900e-3,900e-3,900e-3,0,900e-3,0,0,,397.7e-3
118,nom,0,900e-3,900e-3,900e-3,0,900e-3,0,900e-3,,402.2e-3
119,nom,0,900e-3,900e-3,900e-3,0,900e-3,900e-3,0,,405.6e-3
120,nom,0,900e-3,900e-3,900e-3,0,900e-3,900e-3,900e-3,,410.2e-3
121,nom,0,900e-3,900e-3,900e-3,900e-3,0,0,0,,411.4e-3
122,nom,0,900e-3,900e-3,900e-3,900e-3,0,0,900e-3,,415.9e-3
123,nom,0,900e-3,900e-3,900e-3,900e-3,0,900e-3,0,,419.4e-3
124,nom,0,900e-3,900e-3,900e-3,900e-3,0,900e-3,900e-3,,423.9e-3
125,nom,0,900e-3,900e-3,900e-3,900e-3,900e-3,0,0,,426.2e-3
126,nom,0,900e-3,900e-3,900e-3,900e-3,900e-3,0,900e-3,,430.7e-3
127,nom,0,900e-3,900e-3,900e-3,900e-3,900e-3,900e-3,0,,434.2e-3
128,nom,0,900e-3,900e-3,900e-3,900e-3,900e-3,900e-3,900e-3,,438.7e-3
129,nom,900e-3,0,0,0,0,0,0,0,,439.4e-3
130,nom,900e-3,0,0,0,0,0,0,900e-3,,444e-3
131,nom,900e-3,0,0,0,0,0,900e-3,0,,447.5e-3
132,nom,900e-3,0,0,0,0,0,900e-3,900e-3,,452.1e-3
133,nom,900e-3,0,0,0,0,900e-3,0,0,,454.5e-3
134,nom,900e-3,0,0,0,0,900e-3,0,900e-3,,459.1e-3
135,nom,900e-3,0,0,0,0,900e-3,900e-3,0,,462.6e-3
136,nom,900e-3,0,0,0,0,900e-3,900e-3,900e-3,,467.3e-3
137,nom,900e-3,0,0,0,900e-3,0,0,0,,468.5e-3
138,nom,900e-3,0,0,0,900e-3,0,0,900e-3,,473.2e-3
139,nom,900e-3,0,0,0,900e-3,0,900e-3,0,,476.7e-3
140,nom,900e-3,0,0,0,900e-3,0,900e-3,900e-3,,481.3e-3
141,nom,900e-3,0,0,0,900e-3,900e-3,0,0,,483.7e-3
142,nom,900e-3,0,0,0,900e-3,900e-3,0,900e-3,,488.3e-3
143,nom,900e-3,0,0,0,900e-3,900e-3,900e-3,0,,491.8e-3
144,nom,900e-3,0,0,0,900e-3,900e-3,900e-3,900e-3,,496.5e-3
145,nom,900e-3,0,0,900e-3,0,0,0,0,,496.6e-3
146,nom,900e-3,0,0,900e-3,0,0,0,900e-3,,501.2e-3
147,nom,900e-3,0,0,900e-3,0,0,900e-3,0,,504.8e-3
148,nom,900e-3,0,0,900e-3,0,0,900e-3,900e-3,,509.4e-3
149,nom,900e-3,0,0,900e-3,0,900e-3,0,0,,511.8e-3
150,nom,900e-3,0,0,900e-3,0,900e-3,0,900e-3,,516.4e-3
151,nom,900e-3,0,0,900e-3,0,900e-3,900e-3,0,,519.9e-3
152,nom,900e-3,0,0,900e-3,0,900e-3,900e-3,900e-3,,524.5e-3
153,nom,900e-3,0,0,900e-3,900e-3,0,0,0,,525.8e-3
154,nom,900e-3,0,0,900e-3,900e-3,0,0,900e-3,,530.4e-3
155,nom,900e-3,0,0,900e-3,900e-3,0,900e-3,0,,533.9e-3
156,nom,900e-3,0,0,900e-3,900e-3,0,900e-3,900e-3,,538.5e-3
157,nom,900e-3,0,0,900e-3,900e-3,900e-3,0,0,,540.8e-3
158,nom,900e-3,0,0,900e-3,900e-3,900e-3,0,900e-3,,545.4e-3
159,nom,900e-3,0,0,900e-3,900e-3,900e-3,900e-3,0,,548.9e-3
160,nom,900e-3,0,0,900e-3,900e-3,900e-3,900e-3,900e-3,,553.4e-3
161,nom,900e-3,0,900e-3,0,0,0,0,0,,552.8e-3
162,nom,900e-3,0,900e-3,0,0,0,0,900e-3,,557.4e-3
163,nom,900e-3,0,900e-3,0,0,0,900e-3,0,,560.9e-3
164,nom,900e-3,0,900e-3,0,0,0,900e-3,900e-3,,565.5e-3
165,nom,900e-3,0,900e-3,0,0,900e-3,0,0,,567.8e-3
166,nom,900e-3,0,900e-3,0,0,900e-3,0,900e-3,,572.4e-3
167,nom,900e-3,0,900e-3,0,0,900e-3,900e-3,0,,575.8e-3
168,nom,900e-3,0,900e-3,0,0,900e-3,900e-3,900e-3,,580.3e-3
169,nom,900e-3,0,900e-3,0,900e-3,0,0,0,,581.6e-3
170,nom,900e-3,0,900e-3,0,900e-3,0,0,900e-3,,586.1e-3
171,nom,900e-3,0,900e-3,0,900e-3,0,900e-3,0,,589.5e-3
172,nom,900e-3,0,900e-3,0,900e-3,0,900e-3,900e-3,,594e-3
173,nom,900e-3,0,900e-3,0,900e-3,900e-3,0,0,,596.3e-3
174,nom,900e-3,0,900e-3,0,900e-3,900e-3,0,900e-3,,600.8e-3
175,nom,900e-3,0,900e-3,0,900e-3,900e-3,900e-3,0,,604.1e-3
176,nom,900e-3,0,900e-3,0,900e-3,900e-3,900e-3,900e-3,,608.6e-3
177,nom,900e-3,0,900e-3,900e-3,0,0,0,0,,608.9e-3
178,nom,900e-3,0,900e-3,900e-3,0,0,0,900e-3,,613.3e-3
179,nom,900e-3,0,900e-3,900e-3,0,0,900e-3,0,,616.7e-3
180,nom,900e-3,0,900e-3,900e-3,0,0,900e-3,900e-3,,621.1e-3
181,nom,900e-3,0,900e-3,900e-3,0,900e-3,0,0,,623.4e-3
182,nom,900e-3,0,900e-3,900e-3,0,900e-3,0,900e-3,,627.8e-3
183,nom,900e-3,0,900e-3,900e-3,0,900e-3,900e-3,0,,631.2e-3
184,nom,900e-3,0,900e-3,900e-3,0,900e-3,900e-3,900e-3,,635.6e-3
185,nom,900e-3,0,900e-3,900e-3,900e-3,0,0,0,,636.8e-3
186,nom,900e-3,0,900e-3,900e-3,900e-3,0,0,900e-3,,641.2e-3
187,nom,900e-3,0,900e-3,900e-3,900e-3,0,900e-3,0,,644.6e-3
188,nom,900e-3,0,900e-3,900e-3,900e-3,0,900e-3,900e-3,,649e-3
189,nom,900e-3,0,900e-3,900e-3,900e-3,900e-3,0,0,,651.3e-3
190,nom,900e-3,0,900e-3,900e-3,900e-3,900e-3,0,900e-3,,655.7e-3
191,nom,900e-3,0,900e-3,900e-3,900e-3,900e-3,900e-3,0,,659.1e-3
192,nom,900e-3,0,900e-3,900e-3,900e-3,900e-3,900e-3,900e-3,,663.6e-3
193,nom,900e-3,900e-3,0,0,0,0,0,0,,661.2e-3
194,nom,900e-3,900e-3,0,0,0,0,0,900e-3,,665.7e-3
195,nom,900e-3,900e-3,0,0,0,0,900e-3,0,,669e-3
196,nom,900e-3,900e-3,0,0,0,0,900e-3,900e-3,,673.4e-3
197,nom,900e-3,900e-3,0,0,0,900e-3,0,0,,675.7e-3
198,nom,900e-3,900e-3,0,0,0,900e-3,0,900e-3,,680.1e-3
199,nom,900e-3,900e-3,0,0,0,900e-3,900e-3,0,,683.4e-3
200,nom,900e-3,900e-3,0,0,0,900e-3,900e-3,900e-3,,687.8e-3
201,nom,900e-3,900e-3,0,0,900e-3,0,0,0,,689e-3
202,nom,900e-3,900e-3,0,0,900e-3,0,0,900e-3,,693.3e-3
203,nom,900e-3,900e-3,0,0,900e-3,0,900e-3,0,,696.7e-3
204,nom,900e-3,900e-3,0,0,900e-3,0,900e-3,900e-3,,701.1e-3
205,nom,900e-3,900e-3,0,0,900e-3,900e-3,0,0,,703.5e-3
206,nom,900e-3,900e-3,0,0,900e-3,900e-3,0,900e-3,,707.9e-3
207,nom,900e-3,900e-3,0,0,900e-3,900e-3,900e-3,0,,711.2e-3
208,nom,900e-3,900e-3,0,0,900e-3,900e-3,900e-3,900e-3,,715.6e-3
209,nom,900e-3,900e-3,0,900e-3,0,0,0,0,,715.7e-3
210,nom,900e-3,900e-3,0,900e-3,0,0,0,900e-3,,720.2e-3
211,nom,900e-3,900e-3,0,900e-3,0,0,900e-3,0,,723.5e-3
212,nom,900e-3,900e-3,0,900e-3,0,0,900e-3,900e-3,,727.9e-3
213,nom,900e-3,900e-3,0,900e-3,0,900e-3,0,0,,730.3e-3
214,nom,900e-3,900e-3,0,900e-3,0,900e-3,0,900e-3,,734.6e-3
215,nom,900e-3,900e-3,0,900e-3,0,900e-3,900e-3,0,,738e-3
216,nom,900e-3,900e-3,0,900e-3,0,900e-3,900e-3,900e-3,,742.5e-3
217,nom,900e-3,900e-3,0,900e-3,900e-3,0,0,0,,743.7e-3
218,nom,900e-3,900e-3,0,900e-3,900e-3,0,0,900e-3,,748.1e-3
219,nom,900e-3,900e-3,0,900e-3,900e-3,0,900e-3,0,,751.5e-3
220,nom,900e-3,900e-3,0,900e-3,900e-3,0,900e-3,900e-3,,755.9e-3
221,nom,900e-3,900e-3,0,900e-3,900e-3,900e-3,0,0,,758.2e-3
222,nom,900e-3,900e-3,0,900e-3,900e-3,900e-3,0,900e-3,,762.6e-3
223,nom,900e-3,900e-3,0,900e-3,900e-3,900e-3,900e-3,0,,766e-3
224,nom,900e-3,900e-3,0,900e-3,900e-3,900e-3,900e-3,900e-3,,770.4e-3
225,nom,900e-3,900e-3,900e-3,0,0,0,0,0,,769.4e-3
226,nom,900e-3,900e-3,900e-3,0,0,0,0,900e-3,,773.9e-3
227,nom,900e-3,900e-3,900e-3,0,0,0,900e-3,0,,777.2e-3
228,nom,900e-3,900e-3,900e-3,0,0,0,900e-3,900e-3,,781.7e-3
229,nom,900e-3,900e-3,900e-3,0,0,900e-3,0,0,,784e-3
230,nom,900e-3,900e-3,900e-3,0,0,900e-3,0,900e-3,,788.4e-3
231,nom,900e-3,900e-3,900e-3,0,0,900e-3,900e-3,0,,791.7e-3
232,nom,900e-3,900e-3,900e-3,0,0,900e-3,900e-3,900e-3,,796.1e-3
233,nom,900e-3,900e-3,900e-3,0,900e-3,0,0,0,,797.3e-3
234,nom,900e-3,900e-3,900e-3,0,900e-3,0,0,900e-3,,801.6e-3
235,nom,900e-3,900e-3,900e-3,0,900e-3,0,900e-3,0,,805e-3
236,nom,900e-3,900e-3,900e-3,0,900e-3,0,900e-3,900e-3,,809.4e-3
237,nom,900e-3,900e-3,900e-3,0,900e-3,900e-3,0,0,,811.7e-3
238,nom,900e-3,900e-3,900e-3,0,900e-3,900e-3,0,900e-3,,816.1e-3
239,nom,900e-3,900e-3,900e-3,0,900e-3,900e-3,900e-3,0,,819.5e-3
240,nom,900e-3,900e-3,900e-3,0,900e-3,900e-3,900e-3,900e-3,,823.8e-3
241,nom,900e-3,900e-3,900e-3,900e-3,0,0,0,0,,823.9e-3
242,nom,900e-3,900e-3,900e-3,900e-3,0,0,0,900e-3,,828.3e-3
243,nom,900e-3,900e-3,900e-3,900e-3,0,0,900e-3,0,,831.6e-3
244,nom,900e-3,900e-3,900e-3,900e-3,0,0,900e-3,900e-3,,835.9e-3
245,nom,900e-3,900e-3,900e-3,900e-3,0,900e-3,0,0,,838.2e-3
246,nom,900e-3,900e-3,900e-3,900e-3,0,900e-3,0,900e-3,,842.5e-3
247,nom,900e-3,900e-3,900e-3,900e-3,0,900e-3,900e-3,0,,845.8e-3
248,nom,900e-3,900e-3,900e-3,900e-3,0,900e-3,900e-3,900e-3,,850.2e-3
249,nom,900e-3,900e-3,900e-3,900e-3,900e-3,0,0,0,,851.3e-3
250,nom,900e-3,900e-3,900e-3,900e-3,900e-3,0,0,900e-3,,855.7e-3
251,nom,900e-3,900e-3,900e-3,900e-3,900e-3,0,900e-3,0,,858.9e-3
252,nom,900e-3,900e-3,900e-3,900e-3,900e-3,0,900e-3,900e-3,,863.2e-3
253,nom,900e-3,900e-3,900e-3,900e-3,900e-3,900e-3,0,0,,865.4e-3
254,nom,900e-3,900e-3,900e-3,900e-3,900e-3,900e-3,0,900e-3,,869.7e-3
255,nom,900e-3,900e-3,900e-3,900e-3,900e-3,900e-3,900e-3,0,,872.9e-3
256,nom,900e-3,900e-3,900e-3,900e-3,900e-3,900e-3,900e-3,900e-3,,877.2e-3

